"","Global_ID","Unit_Type","Off_Channel_Type","Unit_Number","Segment_Number","Notes","Max_Depth","Jam_Volume","Wood_Count","Wood_Volume","N_Ballisted","N_ChFrm","N_Wet","Undercut_Count","Undercut_L","Undercut_Volume","d50","d84","Perc_Fines","Perc_Gravels","Perc_Cobbles","Perc_Boulders"
"1","a7efb484-5dce-4377-b1fc-2636bf229d3b","Off Channel","Oca",16,1,"Dry",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"2","e829c208-53db-45a6-b513-1a8844aaf644","Off Channel","Oca",72,1,"No depth",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"3","a9663c2f-022d-462f-b300-c56d59d2672f","Off Channel","Oca",84,1,"No depth",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"4","84e0b38c-a1bf-498f-a73d-e9e4de4b368a","Off Channel","Oca",93,1,"No depth",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"5","69775a46-0838-4400-affb-d4814e36d8e8","Off Channel","Oca",110,1,"No depth",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"6","3d475da3-be3d-44e5-9816-ba0b4baaa7e1","Off Channel","Pool",13,4,"No pool depth",NA,1.9584,0,0,0,0,0,1,2,0.032,NA,NA,NA,NA,NA,NA
"7","0074b8fa-cfac-40fa-a7b3-9bd9fea86928","Off Channel","Pool",46,10,"",0.72,0.21,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"8","218f42d7-69a6-45ff-ae07-9b5142798380","Off Channel","Pool",47,10,"",0.68,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"9","65fb1300-32c0-4f9e-8e0f-666c0c61a9df","Off Channel","Pool",123,19,"No depth",0.5,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"10","68d99160-0e01-4a05-9e96-e5c2d201ea9f","Off Channel","Riffle",25,6,"",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"11","230657f9-296c-4989-9b9f-818fa5ccad16","Off Channel","Riffle",121,18,"",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"12","0fe7befd-d473-4a5f-a045-e54f7cfbafe2","Off Channel","Riffle",122,19,"",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"13","91eb0a52-4fd6-437c-a471-13bb0d62649b","Off Channel","Riffle",128,21,"",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"14","02f0fe82-7a38-46d0-bb66-c6adaceabe17","Off Channel","Ssc",10,2,"",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
"15","aa1b5a23-29df-4bf6-aba0-ecbf288caf8b","Off Channel","Ssc",12,3,"Dry",NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA
