SiteNam,Hab_Roll,FishCovNone,Prc_Grv,FstTurb_Cnt,FstNT_Cnt,CU_Cnt,Length,FstTurb_Freq,FstNT_Freq,CU_Freq,SHAPE_A,Max_Dpth,Avg_Mx_Depth,CV_Mx_Depth,Jam_Vlm,Wod_Cnt,Wod_Vlm,N_Bllst,N_ChFrm,N_Wet,Undrc_L,Undrc_A,UcutArea_Pct,Pool_A,Slowwat_Pct,SC_A,SC_Pct,Wood_Ct,LWFreq_Wet,length,straight_line,sin,sc_length,total_length,wet_braid
UpperLemhi_2018,1,100.00000000000001,0,2,0,2,123.2975436495,1.6220923311217241,0,1.6220923311217241,1676.440065481,0,0,NaN,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,122.52356368217134,98.79788018471992,1.2401436493687124,0,122.52356368217134,1
UpperLemhi_2018,2,93.91325971178917,56.23312084550907,1,0,4,135.72918384415001,0.7367612267883688,0,2.947044907153475,927.0209349219,0.72,0.4325,0.7082281337570683,0,0,0,0,0,0,7,0.112896,0.012178365746347605,868.821337663,0.9372186807584845,NA,NA,0,0,136.19863507800824,97.19949203434159,1.4012278482884237,0,136.19863507800824,1
UpperLemhi_2018,3,88.76267103429205,47.01881313522571,3,1,13,417.1766838139,0.7191197678100059,0.23970658927000196,3.116185660510025,2554.0514602601,1.7,0.3346153846153846,1.6983118095916068,1.9584,1,0.15585441154459,0,0,1,11.5,0.19784,0.007746124268766781,764.849748879,0.29946528516739795,534.225651064,0.20916792765389128,1,0.23970658927000196,253.01951535065777,152.64408002697735,1.6575783044186234,148.3256191342834,401.3451344849411,1.5862220506142384
UpperLemhi_2018,4,85.89726197355984,63.00786965544462,2,2,10,293.9174418034,0.6804631898428779,0.6804631898428779,3.40231594921439,1791.6009627124,1.01,0.412,1.0943465108338095,0,3,0.77876154891674,0,0,0,3.4,0.1632,0.009109171260598278,742.6064209692,0.4144932026855627,87.1534249812,0.04864555601111857,0,0,261.164092685023,112.67281803738047,2.3178979387768472,0,261.164092685023,1
UpperLemhi_2018,5,94.55704627678696,9.832988607434272,2,0,5,160.8378277139,1.2434885676009133,0,3.1087214190022836,1547.146380019,1.21,0.612,0.933334134306974,0,0,0,0,0,0,10.8,2.4192899999999997,0.15637111208380228,380.326818219,0.2458247151858568,NA,NA,0,0,160.3561931797957,128.96846112956004,1.2433752545027574,0,160.3561931797957,1
UpperLemhi_2018,6,92.34813773338303,36.03106871963224,1,1,6,192.25819120623999,0.5201338854412065,0.5201338854412065,3.1208033126472388,1672.5117482631,0.88,0.255,1.575231197521171,1.224,0,0,0,0,0,2.5,0.038,0.0022720318729876144,539.562795882,0.32260628150584586,184.36700028209998,0.11023360551790727,0,0,149.41660576460518,61.83156742297104,2.4165100771664316,42.81092890561159,192.22753467021676,1.2865205556406296
UpperLemhi_2018,7,74.54741737810829,56.53415075028972,1,1,8,329.5787525007,0.3034176179175495,0.3034176179175495,2.427340943340396,2112.4667274637,1.18,0.5237499999999999,0.8887698520600679,1.17,1,0.174861047098808,0,0,1,1.5,0.0378,0.0017893772956785918,486.5580873901,0.23032698269964155,464.7667242686,0.2200113820616786,1,0.3034176179175495,223.24198611989013,108.40228128621712,2.059384576330631,80.94874677796545,304.1907328978556,1.3626053870282835
UpperLemhi_2018,8,89.23689983256413,12.10719822930394,2,0,3,135.8508664176,1.4722026091847524,0,2.208303913777129,1023.022141691,0.85,0.2833333333333333,1.7320508075688774,0,0,0,0,0,0,13.350000000000001,0.6536331,0.063892370786773,137.621465138,0.13452442477004378,NA,NA,0,0,136.6251437526225,89.13572599107135,1.532776473557955,0,136.6251437526225,1
UpperLemhi_2018,9,95.01798577743229,37.18422673633061,2,2,9,267.5565235328,0.7475056012808518,0.7475056012808518,3.3637752057638326,2315.4855429956,0.82,0.29777777777777775,1.2262956241857352,0,1,0.814300815810474,0,1,1,16.5,0.386436,0.016689199428127646,706.2049978156,0.30499218617533036,100.209292975,0.043277874603076465,1,0.3737528006404259,239.6057661338745,106.56900484712214,2.2483626123524316,20.122347986979847,259.72811412085434,1.083981067366037
UpperLemhi_2018,10,80.76680548543287,28.384502406328473,2,2,10,431.51780218135997,0.46348029904903726,0.46348029904903726,2.317401495245186,2981.7095949246,1.12,0.322,1.373484046904495,4.139,1,0.262989004217309,0,0,1,9,0.34529,0.011580269271955422,735.485215513,0.2466656098115412,610.581393842,0.20477560755122434,1,0.23174014952451863,253.15242489582778,170.3116088089771,1.4864073369171542,178.16319094719955,431.31561584302733,1.703778330468348
